precinct,office,votes,candidate,party,district,county
Mt Pleasant 2 U,County Commissioner Seat B,225,TOTAL VOTES,,,Sanpete
Fountain Green U,County Commissioner Seat B,38,TOTAL VOTES,,,Sanpete
Spring City,County Commissioner Seat B,484,TOTAL VOTES,,,Sanpete
Spring City U Wales U,County Commissioner Seat B,374,TOTAL VOTES,,,Sanpete
SSU .  .,County Commissioner Seat B,145,TOTAL VOTES,,,Sanpete
Sterling Town .,County Commissioner Seat B,117,TOTAL VOTES,,,Sanpete
Sterling U,County Commissioner Seat B,85,TOTAL VOTES,,,Sanpete
Wales Town,County Commissioner Seat B,140,TOTAL VOTES,,,Sanpete
Axtell SSD,County Attorney,107,KEVIN DANIELS,REP,,Sanpete
Centerfield City,County Attorney,449,KEVIN DANIELS,REP,,Sanpete
Ephraim City 1 (North),County Attorney,581,KEVIN DANIELS,REP,,Sanpete
Ephraim City 2 (South West),County Attorney,383,KEVIN DANIELS,REP,,Sanpete
Ephraim City 3 (South East),County Attorney,315,KEVIN DANIELS,REP,,Sanpete
Ephraim U,County Attorney,199,KEVIN DANIELS,REP,,Sanpete
Fayette Town,County Attorney,85,KEVIN DANIELS,REP,,Sanpete
Fairview City,County Attorney,441,KEVIN DANIELS,REP,,Sanpete
Fairview U,County Attorney,533,KEVIN DANIELS,REP,,Sanpete
Fountain Green City,County Attorney,387,KEVIN DANIELS,REP,,Sanpete
Gunnison City,County Attorney,551,KEVIN DANIELS,REP,,Sanpete
Manti City 1 (South),County Attorney,609,KEVIN DANIELS,REP,,Sanpete
Manti City 2 (Mid),County Attorney,377,KEVIN DANIELS,REP,,Sanpete
Manti City 3 (North),County Attorney,249,KEVIN DANIELS,REP,,Sanpete
Mayfield Town,County Attorney,225,KEVIN DANIELS,REP,,Sanpete
Moroni City,County Attorney,436,KEVIN DANIELS,REP,,Sanpete
Moroni U,County Attorney,117,KEVIN DANIELS,REP,,Sanpete
Mt Pleasant City 2 (East),County Attorney,339,KEVIN DANIELS,REP,,Sanpete
Mt Pleasant City 1 (West).,County Attorney,644,KEVIN DANIELS,REP,,Sanpete
Mt. Pleasant 1 U,County Attorney,168,KEVIN DANIELS,REP,,Sanpete
Mt Pleasant 2 U,County Attorney,206,KEVIN DANIELS,REP,,Sanpete
Fountain Green U,County Attorney,31,KEVIN DANIELS,REP,,Sanpete
Spring City,County Attorney,421,KEVIN DANIELS,REP,,Sanpete
Spring City U Wales U,County Attorney,323,KEVIN DANIELS,REP,,Sanpete
SSU .  .,County Attorney,130,KEVIN DANIELS,REP,,Sanpete
Sterling Town .,County Attorney,110,KEVIN DANIELS,REP,,Sanpete
Sterling U,County Attorney,76,KEVIN DANIELS,REP,,Sanpete
Wales Town,County Attorney,133,KEVIN DANIELS,REP,,Sanpete
Axtell SSD,County Attorney,107,TOTAL VOTES,,,Sanpete
Centerfield City,County Attorney,449,TOTAL VOTES,,,Sanpete
Ephraim City 1 (North),County Attorney,581,TOTAL VOTES,,,Sanpete
Ephraim City 2 (South West),County Attorney,383,TOTAL VOTES,,,Sanpete
Ephraim City 3 (South East),County Attorney,315,TOTAL VOTES,,,Sanpete
Ephraim U,County Attorney,199,TOTAL VOTES,,,Sanpete
Fayette Town,County Attorney,85,TOTAL VOTES,,,Sanpete
Fairview City,County Attorney,441,TOTAL VOTES,,,Sanpete
Fairview U,County Attorney,533,TOTAL VOTES,,,Sanpete
Fountain Green City,County Attorney,387,TOTAL VOTES,,,Sanpete
Gunnison City,County Attorney,551,TOTAL VOTES,,,Sanpete
Manti City 1 (South),County Attorney,609,TOTAL VOTES,,,Sanpete
Manti City 2 (Mid),County Attorney,377,TOTAL VOTES,,,Sanpete
Manti City 3 (North),County Attorney,249,TOTAL VOTES,,,Sanpete
Mayfield Town,County Attorney,225,TOTAL VOTES,,,Sanpete
Moroni City,County Attorney,435,TOTAL VOTES,,,Sanpete
Moroni U,County Attorney,117,TOTAL VOTES,,,Sanpete
Mt Pleasant City 2 (East),County Attorney,339,TOTAL VOTES,,,Sanpete
Mt Pleasant City 1 (West).,County Attorney,644,TOTAL VOTES,,,Sanpete
Mt. Pleasant 1 U,County Attorney,168,TOTAL VOTES,,,Sanpete
Mt Pleasant 2 U,County Attorney,206,TOTAL VOTES,,,Sanpete
Fountain Green U,County Attorney,31,TOTAL VOTES,,,Sanpete
Spring City,County Attorney,421,TOTAL VOTES,,,Sanpete
Spring City U Wales U,County Attorney,323,TOTAL VOTES,,,Sanpete
SSU .  .,County Attorney,130,TOTAL VOTES,,,Sanpete
Sterling Town .,County Attorney,110,TOTAL VOTES,,,Sanpete
Sterling U,County Attorney,76,TOTAL VOTES,,,Sanpete
Wales Town,County Attorney,133,TOTAL VOTES,,,Sanpete
Axtell SSD,County Auditor,108,STACEY LYON,REP,,Sanpete
Centerfield City,County Auditor,458,STACEY LYON,REP,,Sanpete
Ephraim City 1 (North),County Auditor,587,STACEY LYON,REP,,Sanpete
Ephraim City 2 (South West),County Auditor,383,STACEY LYON,REP,,Sanpete
Ephraim City 3 (South East),County Auditor,330,STACEY LYON,REP,,Sanpete
Ephraim U,County Auditor,207,STACEY LYON,REP,,Sanpete
Fayette Town,County Auditor,90,STACEY LYON,REP,,Sanpete
Fairview City,County Auditor,465,STACEY LYON,REP,,Sanpete
Fairview U,County Auditor,551,STACEY LYON,REP,,Sanpete
Fountain Green City,County Auditor,395,STACEY LYON,REP,,Sanpete
Gunnison City,County Auditor,549,STACEY LYON,REP,,Sanpete
Manti City 1 (South),County Auditor,619,STACEY LYON,REP,,Sanpete
Manti City 2 (Mid),County Auditor,387,STACEY LYON,REP,,Sanpete
Manti City 3 (North),County Auditor,264,STACEY LYON,REP,,Sanpete
Mayfield Town,County Auditor,234,STACEY LYON,REP,,Sanpete
Moroni City,County Auditor,435,STACEY LYON,REP,,Sanpete
Moroni U,County Auditor,117,STACEY LYON,REP,,Sanpete
Mt Pleasant City 2 (East),County Auditor,337,STACEY LYON,REP,,Sanpete
Mt Pleasant City 1 (West).,County Auditor,664,STACEY LYON,REP,,Sanpete
Mt. Pleasant 1 U,County Auditor,174,STACEY LYON,REP,,Sanpete
Mt Pleasant 2 U,County Auditor,202,STACEY LYON,REP,,Sanpete
Fountain Green U,County Auditor,33,STACEY LYON,REP,,Sanpete
Spring City,County Auditor,434,STACEY LYON,REP,,Sanpete
Spring City U Wales U,County Auditor,322,STACEY LYON,REP,,Sanpete
SSU .  .,County Auditor,137,STACEY LYON,REP,,Sanpete
Sterling Town .,County Auditor,113,STACEY LYON,REP,,Sanpete
Sterling U,County Auditor,79,STACEY LYON,REP,,Sanpete
Wales Town,County Auditor,136,STACEY LYON,REP,,Sanpete
Axtell SSD,County Auditor,108,TOTAL VOTES,,,Sanpete
Centerfield City,County Auditor,458,TOTAL VOTES,,,Sanpete
Ephraim City 1 (North),County Auditor,587,TOTAL VOTES,,,Sanpete
Ephraim City 2 (South West),County Auditor,383,TOTAL VOTES,,,Sanpete
Ephraim City 3 (South East),County Auditor,330,TOTAL VOTES,,,Sanpete
Ephraim U,County Auditor,207,TOTAL VOTES,,,Sanpete
Fayette Town,County Auditor,90,TOTAL VOTES,,,Sanpete
Fairview City,County Auditor,465,TOTAL VOTES,,,Sanpete
Fairview U,County Auditor,551,TOTAL VOTES,,,Sanpete
Fountain Green City,County Auditor,395,TOTAL VOTES,,,Sanpete
Gunnison City,County Auditor,549,TOTAL VOTES,,,Sanpete
Manti City 1 (South),County Auditor,619,TOTAL VOTES,,,Sanpete
Manti City 2 (Mid),County Auditor,387,TOTAL VOTES,,,Sanpete
Manti City 3 (North),County Auditor,264,TOTAL VOTES,,,Sanpete
Mayfield Town,County Auditor,234,TOTAL VOTES,,,Sanpete
Moroni City,County Auditor,435,TOTAL VOTES,,,Sanpete
Moroni U,County Auditor,117,TOTAL VOTES,,,Sanpete
Mt Pleasant City 2 (East),County Auditor,337,TOTAL VOTES,,,Sanpete
Mt Pleasant City 1 (West).,County Auditor,664,TOTAL VOTES,,,Sanpete
Mt. Pleasant 1 U,County Auditor,174,TOTAL VOTES,,,Sanpete
Mt Pleasant 2 U,County Auditor,202,TOTAL VOTES,,,Sanpete
Fountain Green U,County Auditor,33,TOTAL VOTES,,,Sanpete
Spring City,County Auditor,434,TOTAL VOTES,,,Sanpete
Spring City U Wales U,County Auditor,322,TOTAL VOTES,,,Sanpete
SSU .  .,County Auditor,137,TOTAL VOTES,,,Sanpete
Sterling Town .,County Auditor,113,TOTAL VOTES,,,Sanpete
Sterling U,County Auditor,79,TOTAL VOTES,,,Sanpete
Wales Town,County Auditor,136,TOTAL VOTES,,,Sanpete
Axtell SSD,County Clerk,107,LINDA B CHRISTIANSEN,REP,,Sanpete
Centerfield City,County Clerk,455,LINDA B CHRISTIANSEN,REP,,Sanpete
Ephraim City 1 (North),County Clerk,590,LINDA B CHRISTIANSEN,REP,,Sanpete
Ephraim City 2 (South West),County Clerk,382,LINDA B CHRISTIANSEN,REP,,Sanpete
Ephraim City 3 (South East),County Clerk,329,LINDA B CHRISTIANSEN,REP,,Sanpete
Ephraim U,County Clerk,210,LINDA B CHRISTIANSEN,REP,,Sanpete
Fayette Town,County Clerk,891,LINDA B CHRISTIANSEN,REP,,Sanpete
Fairview City,County Clerk,463,LINDA B CHRISTIANSEN,REP,,Sanpete
Fairview U,County Clerk,544,LINDA B CHRISTIANSEN,REP,,Sanpete
Fountain Green City,County Clerk,397,LINDA B CHRISTIANSEN,REP,,Sanpete
Gunnison City,County Clerk,551,LINDA B CHRISTIANSEN,REP,,Sanpete
Manti City 1 (South),County Clerk,611,LINDA B CHRISTIANSEN,REP,,Sanpete
Manti City 2 (Mid),County Clerk,381,LINDA B CHRISTIANSEN,REP,,Sanpete
Manti City 3 (North),County Clerk,261,LINDA B CHRISTIANSEN,REP,,Sanpete
Mayfield Town,County Clerk,231,LINDA B CHRISTIANSEN,REP,,Sanpete
Moroni City,County Clerk,437,LINDA B CHRISTIANSEN,REP,,Sanpete
Moroni U,County Clerk,118,LINDA B CHRISTIANSEN,REP,,Sanpete
Mt Pleasant City 2 (East),County Clerk,329,LINDA B CHRISTIANSEN,REP,,Sanpete
Mt Pleasant City 1 (West).,County Clerk,659,LINDA B CHRISTIANSEN,REP,,Sanpete
Mt. Pleasant 1 U,County Clerk,166,LINDA B CHRISTIANSEN,REP,,Sanpete
Mt Pleasant 2 U,County Clerk,204,LINDA B CHRISTIANSEN,REP,,Sanpete
Fountain Green U,County Clerk,32,LINDA B CHRISTIANSEN,REP,,Sanpete
Spring City,County Clerk,439,LINDA B CHRISTIANSEN,REP,,Sanpete
Spring City U Wales U,County Clerk,325,LINDA B CHRISTIANSEN,REP,,Sanpete
SSU .  .,County Clerk,135,LINDA B CHRISTIANSEN,REP,,Sanpete
Sterling Town .,County Clerk,109,LINDA B CHRISTIANSEN,REP,,Sanpete
Sterling U,County Clerk,80,LINDA B CHRISTIANSEN,REP,,Sanpete
Wales Town,County Clerk,133,LINDA B CHRISTIANSEN,REP,,Sanpete
Axtell SSD,County Clerk,107,TOTAL VOTES,,,Sanpete
Centerfield City,County Clerk,455,TOTAL VOTES,,,Sanpete
Ephraim City 1 (North),County Clerk,590,TOTAL VOTES,,,Sanpete
Ephraim City 2 (South West),County Clerk,382,TOTAL VOTES,,,Sanpete
Ephraim City 3 (South East),County Clerk,329,TOTAL VOTES,,,Sanpete
Ephraim U,County Clerk,210,TOTAL VOTES,,,Sanpete
Fayette Town,County Clerk,89,TOTAL VOTES,,,Sanpete
Fairview City,County Clerk,463,TOTAL VOTES,,,Sanpete
Fairview U,County Clerk,544,TOTAL VOTES,,,Sanpete
Fountain Green City,County Clerk,397,TOTAL VOTES,,,Sanpete
Gunnison City,County Clerk,551,TOTAL VOTES,,,Sanpete
Manti City 1 (South),County Clerk,611,TOTAL VOTES,,,Sanpete
Manti City 2 (Mid),County Clerk,381,TOTAL VOTES,,,Sanpete
Manti City 3 (North),County Clerk,261,TOTAL VOTES,,,Sanpete
Mayfield Town,County Clerk,231,TOTAL VOTES,,,Sanpete
Moroni City,County Clerk,437,TOTAL VOTES,,,Sanpete
Moroni U,County Clerk,118,TOTAL VOTES,,,Sanpete
Mt Pleasant City 2 (East),County Clerk,329,TOTAL VOTES,,,Sanpete
Mt Pleasant City 1 (West).,County Clerk,659,TOTAL VOTES,,,Sanpete
Mt. Pleasant 1 U,County Clerk,166,TOTAL VOTES,,,Sanpete
Mt Pleasant 2 U,County Clerk,204,TOTAL VOTES,,,Sanpete
Fountain Green U,County Clerk,32,TOTAL VOTES,,,Sanpete
Spring City,County Clerk,439,TOTAL VOTES,,,Sanpete
Spring City U Wales U,County Clerk,325,TOTAL VOTES,,,Sanpete
SSU .  .,County Clerk,135,TOTAL VOTES,,,Sanpete
Sterling Town .,County Clerk,109,TOTAL VOTES,,,Sanpete
Sterling U,County Clerk,80,TOTAL VOTES,,,Sanpete
Wales Town,County Clerk,133,TOTAL VOTES,,,Sanpete
Axtell SSD,Sheriff,110,JARED BUCHANAN,REP,,Sanpete
Centerfield City,Sheriff,455,JARED BUCHANAN,REP,,Sanpete
Ephraim City 1 (North),Sheriff,597,JARED BUCHANAN,REP,,Sanpete
Ephraim City 2 (South West),Sheriff,386,JARED BUCHANAN,REP,,Sanpete
Ephraim City 3 (South East),Sheriff,328,JARED BUCHANAN,REP,,Sanpete
Ephraim U,Sheriff,224,JARED BUCHANAN,REP,,Sanpete
Fayette Town,Sheriff,89,JARED BUCHANAN,REP,,Sanpete
Fairview City,Sheriff,465,JARED BUCHANAN,REP,,Sanpete
Fairview U,Sheriff,557,JARED BUCHANAN,REP,,Sanpete
Fountain Green City,Sheriff,404,JARED BUCHANAN,REP,,Sanpete
Gunnison City,Sheriff,568,JARED BUCHANAN,REP,,Sanpete
Manti City 1 (South),Sheriff,629,JARED BUCHANAN,REP,,Sanpete
Manti City 2 (Mid),Sheriff,384,JARED BUCHANAN,REP,,Sanpete
Manti City 3 (North),Sheriff,268,JARED BUCHANAN,REP,,Sanpete
Mayfield Town,Sheriff,241,JARED BUCHANAN,REP,,Sanpete
Moroni City,Sheriff,447,JARED BUCHANAN,REP,,Sanpete
Moroni U,Sheriff,116,JARED BUCHANAN,REP,,Sanpete
Mt Pleasant City 2 (East),Sheriff,350,JARED BUCHANAN,REP,,Sanpete
Mt Pleasant City 1 (West).,Sheriff,680,JARED BUCHANAN,REP,,Sanpete
Mt. Pleasant 1 U,Sheriff,176,JARED BUCHANAN,REP,,Sanpete
Mt Pleasant 2 U,Sheriff,207,JARED BUCHANAN,REP,,Sanpete
Fountain Green U,Sheriff,33,JARED BUCHANAN,REP,,Sanpete
Spring City,Sheriff,428,JARED BUCHANAN,REP,,Sanpete
Spring City U Wales U,Sheriff,334,JARED BUCHANAN,REP,,Sanpete
SSU .  .,Sheriff,139,JARED BUCHANAN,REP,,Sanpete
Sterling Town .,Sheriff,106,JARED BUCHANAN,REP,,Sanpete
Sterling U,Sheriff,79,JARED BUCHANAN,REP,,Sanpete
Wales Town,Sheriff,134,JARED BUCHANAN,REP,,Sanpete
Axtell SSD,Sheriff,110,TOTAL VOTES,,,Sanpete
Centerfield City,Sheriff,455,TOTAL VOTES,,,Sanpete
Ephraim City 1 (North),Sheriff,597,TOTAL VOTES,,,Sanpete
Ephraim City 2 (South West),Sheriff,386,TOTAL VOTES,,,Sanpete
Ephraim City 3 (South East),Sheriff,328,TOTAL VOTES,,,Sanpete
Ephraim U,Sheriff,224,TOTAL VOTES,,,Sanpete
Fayette Town,Sheriff,89,TOTAL VOTES,,,Sanpete
Fairview City,Sheriff,465,TOTAL VOTES,,,Sanpete
Fairview U,Sheriff,557,TOTAL VOTES,,,Sanpete
Fountain Green City,Sheriff,404,TOTAL VOTES,,,Sanpete
Gunnison City,Sheriff,568,TOTAL VOTES,,,Sanpete
Manti City 1 (South),Sheriff,629,TOTAL VOTES,,,Sanpete
Manti City 2 (Mid),Sheriff,384,TOTAL VOTES,,,Sanpete
Manti City 3 (North),Sheriff,268,TOTAL VOTES,,,Sanpete
Mayfield Town,Sheriff,241,TOTAL VOTES,,,Sanpete
Moroni City,Sheriff,447,TOTAL VOTES,,,Sanpete
Moroni U,Sheriff,116,TOTAL VOTES,,,Sanpete
Mt Pleasant City 2 (East),Sheriff,350,TOTAL VOTES,,,Sanpete
Mt Pleasant City 1 (West).,Sheriff,680,TOTAL VOTES,,,Sanpete
Mt. Pleasant 1 U,Sheriff,176,TOTAL VOTES,,,Sanpete
Mt Pleasant 2 U,Sheriff,207,TOTAL VOTES,,,Sanpete
Fountain Green U,Sheriff,33,TOTAL VOTES,,,Sanpete
Spring City,Sheriff,428,TOTAL VOTES,,,Sanpete
Spring City U Wales U,Sheriff,334,TOTAL VOTES,,,Sanpete
SSU .  .,Sheriff,139,TOTAL VOTES,,,Sanpete
Sterling Town .,Sheriff,106,TOTAL VOTES,,,Sanpete
Sterling U,Sheriff,79,TOTAL VOTES,,,Sanpete
Wales Town,Sheriff,134,TOTAL VOTES,,,Sanpete
Manti City 1 (South),South Sanpete School,628,MARK S OLSON,,1,Sanpete
Manti City 2 (Mid),South Sanpete School,384,MARK S OLSON,,1,Sanpete
Sterling Town,South Sanpete School,108,MARK S OLSON,,1,Sanpete
Sterling U,South Sanpete School,73,MARK S OLSON,,1,Sanpete
Manti City 1 (South),South Sanpete School,628,TOTAL VOTES,,1,Sanpete
Manti City 2 (Mid),South Sanpete School,384,TOTAL VOTES,,1,Sanpete
Sterling Town,South Sanpete School,108,TOTAL VOTES,,1,Sanpete
Sterling U,South Sanpete School,73,TOTAL VOTES,,1,Sanpete
Ephraim City 2 (South West),South Sanpete School,375,DAVID WARREN,,4,Sanpete
Ephraim City 3 (South East),South Sanpete School,331,DAVID WARREN,,4,Sanpete
Monti City 3 (North),South Sanpete School,240,DAVID WARREN,,4,Sanpete
Ephraim City 2 (South West),South Sanpete School,375,TOTAL VOTES,,4,Sanpete
Ephraim City 3 (South East),South Sanpete School,331,TOTAL VOTES,,4,Sanpete
Monti City 3 (North),South Sanpete School,240,TOTAL VOTES,,4,Sanpete
Ephraim City 1 (North),South Sanpete School,609,CONNOR L THOMPSON,,5,Sanpete
Ephraim U,South Sanpete School,195,CONNOR L THOMPSON,,5,Sanpete
Ephraim City 1 (North),South Sanpete School,609,TOTAL VOTES,,5,Sanpete
Ephraim U,South Sanpete School,195,TOTAL VOTES,,5,Sanpete
Fountain Green City,North Sanpete School,414,GREG B BAILEY,,4,Sanpete
Fountain Green U,North Sanpete School,30,GREG B BAILEY,,4,Sanpete
Spring City U Wales U,North Sanpete School,309,GREG B BAILEY,,4,Sanpete
Wales Town,North Sanpete School,122,GREG B BAILEY,,4,Sanpete
Fountain Green City,North Sanpete School,414,TOTAL VOTES,,4,Sanpete
Fountain Green U,North Sanpete School,30,TOTAL VOTES,,4,Sanpete
Spring City U Wales U,North Sanpete School,309,TOTAL VOTES,,4,Sanpete
Wales Town,North Sanpete School,122,TOTAL VOTES,,4,Sanpete
Fairview City,North Sanpete School,470,JEREMY MADSEN,,5,Sanpete
Fairview U,North Sanpete School,523,JEREMY MADSEN,,5,Sanpete
Fairview City,North Sanpete School,470,TOTAL VOTES,,5,Sanpete
Fairview U,North Sanpete School,523,TOTAL VOTES,,5,Sanpete
Axtell SSD,Brody J Keisel Judicial Retention,93,YES,,,Sanpete
Centerfield City,Brody J Keisel Judicial Retention,347,YES,,,Sanpete
Ephraim City 1 (North),Brody J Keisel Judicial Retention,548,YES,,,Sanpete
Ephraim City 2 (South West),Brody J Keisel Judicial Retention,353,YES,,,Sanpete
Ephraim City 3 (South East),Brody J Keisel Judicial Retention,307,YES,,,Sanpete
Ephraim U,Brody J Keisel Judicial Retention,203,YES,,,Sanpete
Fayette Town,Brody J Keisel Judicial Retention,80,YES,,,Sanpete
Fairview City.,Brody J Keisel Judicial Retention,401,YES,,,Sanpete
Fairview U,Brody J Keisel Judicial Retention,495,YES,,,Sanpete
Fountain Green City,Brody J Keisel Judicial Retention,352,YES,,,Sanpete
Gunnison City,Brody J Keisel Judicial Retention,492,YES,,,Sanpete
Manti City 1 (South),Brody J Keisel Judicial Retention,600,YES,,,Sanpete
Manti City 2 (Mid),Brody J Keisel Judicial Retention,362,YES,,,Sanpete
Manti City 3 (North),Brody J Keisel Judicial Retention,255,YES,,,Sanpete
Mayfield Town,Brody J Keisel Judicial Retention,198,YES,,,Sanpete
Moroni City,Brody J Keisel Judicial Retention,397,YES,,,Sanpete
Moroni U,Brody J Keisel Judicial Retention,99,YES,,,Sanpete
Mt Pleasant City 2 (East),Brody J Keisel Judicial Retention,291,YES,,,Sanpete
Mt Pleasant City 1 (West),Brody J Keisel Judicial Retention,582,YES,,,Sanpete
Mt Pleasant 1 U,Brody J Keisel Judicial Retention,150,YES,,,Sanpete
Mt Pleasant 2 U,Brody J Keisel Judicial Retention,183,YES,,,Sanpete
Fountain Green U,Brody J Keisel Judicial Retention,23,YES,,,Sanpete
Spring City,Brody J Keisel Judicial Retention,367,YES,,,Sanpete
Spring City U  Wales U,Brody J Keisel Judicial Retention,290,YES,,,Sanpete
SSU,Brody J Keisel Judicial Retention,99,YES,,,Sanpete
Sterling Town,Brody J Keisel Judicial Retention,100,YES,,,Sanpete
Sterlng U,Brody J Keisel Judicial Retention,59,YES,,,Sanpete
Wales Town,Brody J Keisel Judicial Retention,110,YES,,,Sanpete
Axtell SSD,Brody J Keisel Judicial Retention,201,NO,,,Sanpete
Centerfield City,Brody J Keisel Judicial Retention,116,NO,,,Sanpete
Ephraim City 1 (North),Brody J Keisel Judicial Retention,85,NO,,,Sanpete
Ephraim City 2 (South West),Brody J Keisel Judicial Retention,65,NO,,,Sanpete
Ephraim City 3 (South East),Brody J Keisel Judicial Retention,40,NO,,,Sanpete
Ephraim U,Brody J Keisel Judicial Retention,25,NO,,,Sanpete
Fayette Town,Brody J Keisel Judicial Retention,15,NO,,,Sanpete
Fairview City.,Brody J Keisel Judicial Retention,85,NO,,,Sanpete
Fairview U,Brody J Keisel Judicial Retention,88,NO,,,Sanpete
Fountain Green City,Brody J Keisel Judicial Retention,73,NO,,,Sanpete
Gunnison City,Brody J Keisel Judicial Retention,98,NO,,,Sanpete
Manti City 1 (South),Brody J Keisel Judicial Retention,71,NO,,,Sanpete
Manti City 2 (Mid),Brody J Keisel Judicial Retention,47,NO,,,Sanpete
Manti City 3 (North),Brody J Keisel Judicial Retention,18,NO,,,Sanpete
Mayfield Town,Brody J Keisel Judicial Retention,46,NO,,,Sanpete
Moroni City,Brody J Keisel Judicial Retention,61,NO,,,Sanpete
Moroni U,Brody J Keisel Judicial Retention,26,NO,,,Sanpete
Mt Pleasant City 2 (East),Brody J Keisel Judicial Retention,80,NO,,,Sanpete
Mt Pleasant City 1 (West),Brody J Keisel Judicial Retention,133,NO,,,Sanpete
Mt Pleasant 1 U,Brody J Keisel Judicial Retention,40,NO,,,Sanpete
Mt Pleasant 2 U,Brody J Keisel Judicial Retention,38,NO,,,Sanpete
Fountain Green U,Brody J Keisel Judicial Retention,9,NO,,,Sanpete
Spring City,Brody J Keisel Judicial Retention,102,NO,,,Sanpete
Spring City U  Wales U,Brody J Keisel Judicial Retention,60,NO,,,Sanpete
SSU,Brody J Keisel Judicial Retention,43,NO,,,Sanpete
Sterling Town,Brody J Keisel Judicial Retention,18,NO,,,Sanpete
Sterlng U,Brody J Keisel Judicial Retention,22,NO,,,Sanpete
Wales Town,Brody J Keisel Judicial Retention,19,NO,,,Sanpete
Axtell SSD,Brody J Keisel Judicial Retention,113,TOTAL VOTES,,,Sanpete
Centerfield City,Brody J Keisel Judicial Retention,463,TOTAL VOTES,,,Sanpete
Ephraim City 1 (North),Brody J Keisel Judicial Retention,633,TOTAL VOTES,,,Sanpete
Ephraim City 2 (South West),Brody J Keisel Judicial Retention,418,TOTAL VOTES,,,Sanpete
Ephraim City 3 (South East),Brody J Keisel Judicial Retention,347,TOTAL VOTES,,,Sanpete
Ephraim U,Brody J Keisel Judicial Retention,228,TOTAL VOTES,,,Sanpete
Fayette Town,Brody J Keisel Judicial Retention,95,TOTAL VOTES,,,Sanpete
Fairview City.,Brody J Keisel Judicial Retention,486,TOTAL VOTES,,,Sanpete
Fairview U,Brody J Keisel Judicial Retention,583,TOTAL VOTES,,,Sanpete
Fountain Green City,Brody J Keisel Judicial Retention,425,TOTAL VOTES,,,Sanpete
Gunnison City,Brody J Keisel Judicial Retention,590,TOTAL VOTES,,,Sanpete
Manti City 1 (South),Brody J Keisel Judicial Retention,671,TOTAL VOTES,,,Sanpete
Manti City 2 (Mid),Brody J Keisel Judicial Retention,409,TOTAL VOTES,,,Sanpete
Manti City 3 (North),Brody J Keisel Judicial Retention,273,TOTAL VOTES,,,Sanpete
Mayfield Town,Brody J Keisel Judicial Retention,244,TOTAL VOTES,,,Sanpete
Moroni City,Brody J Keisel Judicial Retention,458,TOTAL VOTES,,,Sanpete
Moroni U,Brody J Keisel Judicial Retention,125,TOTAL VOTES,,,Sanpete
Mt Pleasant City 2 (East),Brody J Keisel Judicial Retention,371,TOTAL VOTES,,,Sanpete
Mt Pleasant City 1 (West),Brody J Keisel Judicial Retention,715,TOTAL VOTES,,,Sanpete
Mt Pleasant 1 U,Brody J Keisel Judicial Retention,190,TOTAL VOTES,,,Sanpete
Mt Pleasant 2 U,Brody J Keisel Judicial Retention,221,TOTAL VOTES,,,Sanpete
Fountain Green U,Brody J Keisel Judicial Retention,32,TOTAL VOTES,,,Sanpete
Spring City,Brody J Keisel Judicial Retention,469,TOTAL VOTES,,,Sanpete
Spring City U  Wales U,Brody J Keisel Judicial Retention,350,TOTAL VOTES,,,Sanpete
SSU,Brody J Keisel Judicial Retention,142,TOTAL VOTES,,,Sanpete
Sterling Town,Brody J Keisel Judicial Retention,118,TOTAL VOTES,,,Sanpete
Sterlng U,Brody J Keisel Judicial Retention,81,TOTAL VOTES,,,Sanpete
Wales Town,Brody J Keisel Judicial Retention,129,TOTAL VOTES,,,Sanpete
Axtell SSD,Mark Mciff Judicial Retention,97,YES,,,Sanpete
Centerfield City,Mark Mciff Judicial Retention,395,YES,,,Sanpete
Ephraim City 1 (North),Mark Mciff Judicial Retention,538,YES,,,Sanpete
Ephraim City 2 (South West),Mark Mciff Judicial Retention,337,YES,,,Sanpete
Ephraim City 3 (South East),Mark Mciff Judicial Retention,310,YES,,,Sanpete
Ephraim U,Mark Mciff Judicial Retention,183,YES,,,Sanpete
Fayette Town,Mark Mciff Judicial Retention,81,YES,,,Sanpete
Fairview City.,Mark Mciff Judicial Retention,406,YES,,,Sanpete
Fairview U,Mark Mciff Judicial Retention,477,YES,,,Sanpete
Fountain Green City,Mark Mciff Judicial Retention,354,YES,,,Sanpete
Gunnison City,Mark Mciff Judicial Retention,506,YES,,,Sanpete
Manti City 1 (South),Mark Mciff Judicial Retention,576,YES,,,Sanpete
Manti City 2 (Mid),Mark Mciff Judicial Retention,354,YES,,,Sanpete
Manti City 3 (North),Mark Mciff Judicial Retention,235,YES,,,Sanpete
Mayfield Town,Mark Mciff Judicial Retention,205,YES,,,Sanpete
Moroni City,Mark Mciff Judicial Retention,397,YES,,,Sanpete
Moroni U,Mark Mciff Judicial Retention,100,YES,,,Sanpete
Mt Pleasant City 2 (East),Mark Mciff Judicial Retention,315,YES,,,Sanpete
Mt Pleasant City 1 (West),Mark Mciff Judicial Retention,583,YES,,,Sanpete
Mt Pleasant 1 U,Mark Mciff Judicial Retention,152,YES,,,Sanpete
Mt Pleasant 2 U,Mark Mciff Judicial Retention,187,YES,,,Sanpete
Fountain Green U,Mark Mciff Judicial Retention,25,YES,,,Sanpete
Spring City,Mark Mciff Judicial Retention,384,YES,,,Sanpete
