county,precinct,office,district,candidate,party,election_day,absentee,mail,provisional,votes
Emery,12,ATTORNEY GENERAL ,,LESLIE D. CURTIS ,IAP ,11,0,0,1,12
Emery,12,State Representative,69,BILL LABRUM ,REP ,140,7,1,0,148
Emery,12,State Representative,69,BRAD KING ,DEM ,109,0,0,2,111
Emery,12,COUNTY COMM A ,,KEITH BRADY ,REP ,217,6,1,2,226
Emery,12,COUNTY COMM A ,,Write-ins,,22,1,0,0,23
Emery,12,COUNTY COMM B ,,S. PAUL COWLEY ,REP ,209,7,1,0,217
Emery,12,COUNTY ASSESSOR ,,KRIS BELL ,REP ,220,7,1,0,228
Emery,12,COUNTY ATTORNEY ,,MIKE OLSEN ,REP ,210,7,1,0,218
Emery,12,COUNTY CLERK/AUDITOR ,,BRENDA TUTTLE ,REP ,210,7,1,0,218
Emery,12,COUNTY RECORDER ,,CONNIE JENSEN ,REP ,215,7,1,0,223
Emery,12,COUNTY SHERIFF ,,GREG FUNK ,REP ,207,6,1,0,214
Emery,12,COUNTY TREASURER ,,STEVEN J. BARTON ,REP ,216,7,1,0,224
Emery,12,UTAHSUPREMECRT-DURHAM ,,YES ,,178,2,1,0,181
Emery,12,UTAHSUPREMECRT-DURHAM ,,NO ,,38,1,0,1,40
Emery,12,UTAHSUPREMECRT-DURRANT ,,YES ,,176,2,1,0,179
Emery,12,UTAHSUPREMECRT-DURRANT ,,NO ,,41,1,0,1,43
Emery,12,UTAHSUPREMECRT-LEE ,,YES ,,174,2,1,0,177
Emery,12,UTAHSUPREMECRT-LEE ,,NO ,,45,1,0,1,47
Emery,12,COURTAPPEALS-ORME ,,YES ,,172,2,1,0,175
Emery,12,COURTAPPEALS-ORME ,,NO ,,44,1,0,1,46
Emery,12,COURTAPPEALS-CHRISTIANSEN ,,YES ,,173,2,1,0,176
Emery,12,COURTAPPEALS-CHRISTIANSEN ,,NO ,,38,1,0,1,40
Emery,12,COURTAPPEALS-ROTH ,,YES ,,168,2,1,0,171
Emery,12,COURTAPPEALS-ROTH ,,NO ,,43,1,0,1,45
Emery,12,COURTAPPEALS-DAVIS ,,YES ,,171,2,1,0,174
Emery,12,COURTAPPEALS-DAVIS ,,NO ,,40,1,0,1,42
Emery,12,COURTAPPEALS-VOROS ,,YES ,,168,2,1,0,171
Emery,12,COURTAPPEALS-VOROS ,,NO ,,45,1,0,1,47
Emery,12,JUVENILECOURT-MANLEY ,,YES ,,179,2,1,1,183
Emery,12,JUVENILECOURT-MANLEY ,,NO ,,38,1,0,1,40
Emery,12,JUVENILECOURT-JOHANSEN ,,YES ,,193,4,1,0,198
Emery,12,JUVENILECOURT-JOHANSEN ,,NO ,,35,1,0,1,37
Emery,12,JUVENILECOURT-ANDERSON ,,YES ,,175,4,1,0,180
Emery,12,JUVENILECOURT-ANDERSON ,,NO ,,46,0,0,1,47
Emery,12,STATE SCHOOL BOARD,14, MIKE MILES ,,69,2,0,0,71
Emery,12,STATE SCHOOL BOARD,14,MARK A. HUNTSMAN ,,143,2,1,0,146
Emery,12,SCHOOL BOARD,5,ROYD F. HATT ,,223,6,1,0,230
Emery,12,CONST AMENDMENT A ,,FOR ,,119,1,0,0,120
Emery,12,CONST AMENDMENT A ,,AGAINST ,,109,3,1,1,114
Emery,12,CONST AMENDMENT B ,,FOR ,,146,1,1,0,148
Emery,12,CONST AMENDMENT B ,,AGAINST ,,87,3,0,1,91
Emery,12,CONST AMENDMENT C ,,FOR ,,101,0,0,0,101
Emery,12,CONST AMENDMENT C ,,AGAINST ,,134,4,1,1,140
